PROVIDERNAME,PROVIDERPRIMESPECIALTY,CATEGORYOFSERVICES,TOTALNUMBEROFCLAIMS,TOTALDOLLARAMOUNTOFCLAIMS,TOTALNUMBEROFRECIPIENTS
"AMERICAN HEALTH NETWORK IN, LLC",Family Practitioner,06 - Physician Services,8996,1129283,35
"AMERICAN HEALTH NETWORK IN, LLC",Family Practitioner,11 - Lab Services,168,5905,396
"AMERICAN HEALTH NETWORK IN, LLC",Family Practitioner,12 - X-Ray Services,203,8045,254
"AMERICAN HEALTH NETWORK IN, LLC",Family Practitioner,17 - Clinic Services,63,6174,1494
"AMERICAN HEALTH NETWORK IN, LLC",Family Practitioner,38 - EPSDT Services,387,34086,375
AMERICAN HEALTH NETWORK OF IN LLC,Medical Clinic,17 - Clinic Services,615,46805,160
AMERICAN HEALTH NETWORK OF IN LLC,Medical Clinic,38 - EPSDT Services,63,5481,41
AMERICAN HEALTH NETWORK OF IN LLC,Family Practitioner,06 - Physician Services,1104,148592,171
AMERICAN HEALTH NETWORK OF IN LLC,Obstetrician/Gynecologist,06 - Physician Services,1645,297166,126
AMERICAN HEALTH NETWORK OF IN LLC,Obstetrician/Gynecologist,12 - X-Ray Services,27,1380,1831
AMERICAN HEALTH NETWORK OF IN LLC,Family Practitioner,06 - Physician Services,628,30023,74
AMERICAN HEALTH NETWORK OF IN LLC,Family Practitioner,06 - Physician Services,628,37013,726
AMERICAN HEALTH NETWORK OF IN LLC,Family Practitioner,06 - Physician Services,146,10157,193
AMERICAN HEALTH NETWORK OF IN LLC,Family Practitioner,06 - Physician Services,28457,420848,4026
AMERICAN HEALTH NETWORK OF IN LLC,Family Practitioner,11 - Lab Services,41,10,61
AMERICAN HEALTH NETWORK OF IN LLC,Family Practitioner,12 - X-Ray Services,2157,7208,865
AMERICAN HEALTH NETWORK OF IN.LLC,Medical Clinic,17 - Clinic Services,547,30437,21
AMERICAN HEALTH NETWORK OF IND.LLC,Family Practitioner,06 - Physician Services,1136,66890,83
AMERICAN HEALTH NETWORK OF IND.LLC,Family Practitioner,12 - X-Ray Services,39,474,58
AMERICAN HEALTH NETWORK OF IND.LLC,Family Practitioner,38 - EPSDT Services,25,2274,46
AMERICAN HEALTH NETWORK OF INDIANA INC,Family Practitioner,06 - Physician Services,447,24430,186
AMERICAN HEALTH NETWORK OF INDIANA LLC,Family Practitioner,06 - Physician Services,8959,694186,63
AMERICAN HEALTH NETWORK OF INDIANA LLC,Family Practitioner,11 - Lab Services,195,8575,28
AMERICAN HEALTH NETWORK OF INDIANA LLC,Family Practitioner,12 - X-Ray Services,496,15851,1283
AMERICAN HEALTH NETWORK OF INDIANA LLC,Family Practitioner,38 - EPSDT Services,355,30386,24
AMERICAN HEALTH NETWORK OF INDIANA LLC,Ophthalmologist,06 - Physician Services,176,16839,81
AMERICAN HEALTH NETWORK OF INDIANA LLC,Ophthalmologist,31 - Eye Care and Exams,211,28310,37
AMERICAN HEALTH NETWORK OF INDIANA LLC,Ophthalmologist,06 - Physician Services,64,11389,302
AMERICAN HEALTH NETWORK OF INDIANA LLC,Ophthalmologist,31 - Eye Care and Exams,166,15584,1918
AMERICAN HEALTH NETWORK OF INDIANA LLC,Ophthalmologist,06 - Physician Services,162,32979,105
AMERICAN HEALTH NETWORK OF INDIANA LLC,Ophthalmologist,31 - Eye Care and Exams,184,15765,171
AMERICAN HEALTH NETWORK OF INDIANA LLC,Family Practitioner,06 - Physician Services,120,3398,670
AMERICAN HEALTH NETWORK OF INDIANA LLC,General Internist,06 - Physician Services,946,54989,49
AMERICAN HEALTH NETWORK OF INDIANA LLC,General Internist,12 - X-Ray Services,30,522,30
AMERICAN HEALTH NETWORK OF INDIANA LLC,Family Practitioner,06 - Physician Services,208,8485,614
AMERICAN HEALTH NETWORK OF INDIANA LLC,Anesthesiologist,06 - Physician Services,200,13966,127
AMERICAN HEALTH NETWORK OF INDIANA LLC,General Internist,06 - Physician Services,75,7431,378
AMERICAN HEALTH NETWORK OF INDIANA LLC,Anesthesiologist,06 - Physician Services,213,26545,32
AMERICAN HEALTH NETWORK OF INDIANA LLC,Family Practitioner,06 - Physician Services,484,15639,3377
AMERICAN HEALTH NETWORK OF INDIANA LLC,Family Practitioner,06 - Physician Services,451,37465,34
AMERICAN HEALTH NETWORK OF INDIANA LLC,Family Practitioner,38 - EPSDT Services,37,3245,1902
AMERICAN HEALTH NETWORK OF INDIANA LLC,Family Practitioner,06 - Physician Services,428,22064,77
AMERICAN HEALTH NETWORK OF INDIANA LLC,Family Practitioner,38 - EPSDT Services,31,2722,21
AMERICAN HEALTH NETWORK OF INDIANA LLC,Medical Clinic,17 - Clinic Services,1083,320100,856
AMERICAN HEALTH NETWORK OF INDIANA LLC,Medical Clinic,17 - Clinic Services,11511,3110328,92
AMERICAN HEALTH NETWORK OF INDIANA LLC,Medical Clinic,17 - Clinic Services,164,8939,49
AMERICAN HEALTH NETWORK OF INDIANA LLC,Medical Clinic,17 - Clinic Services,308,129318,49
AMERICAN HEALTH NETWORK OF INDIANA LLC,Medical Clinic,17 - Clinic Services,75,5246,1549
AMERICAN HEALTH NETWORK OF INDIANA LLC,Medical Clinic,17 - Clinic Services,173,4896,41
AMERICAN HEALTH NETWORK OF INDIANA LLC,Medical Clinic,17 - Clinic Services,492,56491,356
AMERICAN HEALTH NETWORK OF INDIANA LLC,Family Practitioner,06 - Physician Services,267,20322,345
AMERICAN HEALTH NETWORK OF INDIANA LLC,Dermatologist,06 - Physician Services,198,13135,178
AMERICAN HEALTH NETWORK OF INDIANA LLC,Family Practitioner,06 - Physician Services,39,3793,45
AMERICAN HEALTH NETWORK OF INDIANA LLC,Family Practitioner,06 - Physician Services,67,6274,48
AMERICAN HEALTH NETWORK OF INDIANA LLC,Family Practitioner,06 - Physician Services,2493,268124,230
AMERICAN HEALTH NETWORK OF INDIANA LLC,Family Practitioner,11 - Lab Services,38,1002,1736
AMERICAN HEALTH NETWORK OF INDIANA LLC,Family Practitioner,12 - X-Ray Services,64,3660,1092
AMERICAN HEALTH NETWORK OF INDIANA LLC,Family Practitioner,38 - EPSDT Services,165,14398,541
AMERICAN HEALTH NETWORK OF INDIANA LLC,Obstetrician/Gynecologist,06 - Physician Services,336,49953,6349
AMERICAN HEALTH NETWORK OF INDIANA LLC,Obstetrician/Gynecologist,06 - Physician Services,175,21049,201
AMERICAN HEALTH NETWORK OF INDIANA LLC,Family Practitioner,06 - Physician Services,1458,116946,43
AMERICAN HEALTH NETWORK OF INDIANA LLC,Family Practitioner,38 - EPSDT Services,71,6384,2844
AMERICAN HEALTH NETWORK OF INDIANA LLC,Medical Clinic,17 - Clinic Services,1357,96021,3468
AMERICAN HEALTH NETWORK OF INDIANA LLC,Medical Clinic,38 - EPSDT Services,112,9744,36
AMERICAN HEALTH NETWORK OF INDIANA LLC,Independent Lab,11 - Lab Services,863,68599,54
AMERICAN HEALTH NETWORK OF INDIANA LLC,Medical Clinic,17 - Clinic Services,813,29134,444
AMERICAN HEALTH NETWORK OF INDIANA LLC,Medical Clinic,17 - Clinic Services,959,27063,3587
AMERICAN HEALTH NETWORK OF INDIANA LLC,Medical Clinic,17 - Clinic Services,1287,102592,28
AMERICAN HEALTH NETWORK OF INDIANA LLC,Medical Clinic,38 - EPSDT Services,57,5008,133
"AMERICAN HEALTH NETWORK OF INDIANA, LLC",Nephrologist,06 - Physician Services,391,39663,110
"AMERICAN HEALTH NETWORK OF INDIANA, LLC",Independent Lab,11 - Lab Services,381,30014,147
AMERICAN HEALTH NTWK-EAGLE POINTE,Neurologist,06 - Physician Services,59,6175,26
AMERICAN HLTH NETWK OF IN-W SYCAMORE ST,Medical Clinic,17 - Clinic Services,200,21527,543
AMERICAN HLTH NETWORK OF INDIANA LLC,Orthopedic Surgeon,06 - Physician Services,48,6068,93
AMERICAN MEDICAL ASSOCIATES LLC,General Internist,06 - Physician Services,177,17941,25
"AMERICAN PORTABLE MEDICAL SERVICES, INC",Mobile X-Ray Clinic,12 - X-Ray Services,557,7850,32
AMERICAN SLEEP MEDICINE,Pulmonary Disease Specialist,06 - Physician Services,33,10219,23
"AMERIPATH INDIANAPOLIS, LLC.",Pathologist,06 - Physician Services,14110,1486504,173
"AMERIPATH INDIANAPOLIS, LLC.",Pathologist,11 - Lab Services,12764,639750,25
"AMERIPATH INDIANAPOLIS, PC",Independent Lab,11 - Lab Services,2529,39131,96
AMETHYST HOUSE INC,Outpatient Mental Health Clinic,26 - Mental Health Services,821,30055,1363
AMG OF KENTUCKINA MEDICAL CENTER LLC,Anesthesiologist,06 - Physician Services,61,3167,561
AMRHEIN                  LYLE         W,Optometrist,31 - Eye Care and Exams,162,20545,213
ANATOMIC LABORATORY OF THE TRISTATE LLC,Independent Lab,11 - Lab Services,351,26104,57
ANCHOR BEHAVIORAL COUNSELING,Outpatient Mental Health Clinic,26 - Mental Health Services,2782,156606,45
ANDERSON                 CLAUDE,Optometrist,31 - Eye Care and Exams,1556,254644,36
ANDERSON                 MARK         W,Oral Surgeon,27 - Dental Services - Child,308,186963,27
ANDERSON                 MARK         W,Oral Surgeon,28 - Dental Services - Adult,209,73900,318
ANDERSON                 ROBERT       W,General Internist,06 - Physician Services,795,22546,264
ANDERSON                 SUSAN        M,Psychiatrist,26 - Mental Health Services,160,13071,131
ANDERSON FAMILY DENTAL CARE,General Dentistry Practitioner,27 - Dental Services - Child,793,128407,102
ANDERSON FAMILY DENTAL CARE,General Dentistry Practitioner,28 - Dental Services - Adult,229,35782,27
ANDERSON FAMILY PRACTICE,Medical Clinic,17 - Clinic Services,993,73883,61
ANDERSON OD              BRADLEY      W,Optometrist,31 - Eye Care and Exams,78,10526,80
ANDERSON OD              STEVEN R,Optometrist,31 - Eye Care and Exams,188,45901,201
ANDERSON ORAL AND MAXILLOFACIAL SURGERY,Oral Surgeon,27 - Dental Services - Child,231,125667,138
ANDERSON ORAL AND MAXILLOFACIAL SURGERY,Oral Surgeon,28 - Dental Services - Adult,348,162170,301
ANDERSON PEDIATRIC DENTISTRY,Pediatric Dentist,27 - Dental Services - Child,3214,566140,285
ANDERSON PSYCHIATRIC CLINIC LLC,Outpatient Mental Health Clinic,26 - Mental Health Services,2022,123274,31
ANDREW B JONES JR. PHD,Health Service Provider in Psychology (HSPP),26 - Mental Health Services,967,8337,30
ANDREWS                  DIANNA       L,Family Practitioner,06 - Physician Services,204,14677,272
ANDREWS                  DIANNA       L,Family Practitioner,38 - EPSDT Services,39,3543,421
ANDREWS                  NAHIDH       D,General Dentistry Practitioner,27 - Dental Services - Child,98,12375,22
ANDREWS                  NAHIDH       D,General Dentistry Practitioner,28 - Dental Services - Adult,493,129385,21
ANESTHESIA & PAIN TREATMENT OF IN PC,Anesthesiologist,06 - Physician Services,2528,204176,42
ANESTHESIA ASSOCIATES OF INDIANA LLC,Anesthesiologist,06 - Physician Services,285,13056,70
ANESTHESIA ASSOCIATES OF INDIANA LLC,Anesthesiologist,06 - Physician Services,183,22199,50
ANESTHESIA ASSOCIATES OF LAPORTE PC,Anesthesiologist,06 - Physician Services,2470,336388,107
ANESTHESIA CARE ENTERPRISES LLC,Anesthesiologist,06 - Physician Services,46,3631,368
ANESTHESIA CONSULTANTS OF INDIANA LLC,Anesthesiologist,06 - Physician Services,2600,209293,76
"ANESTHESIA CONSULTANTS OF INDPLS, LLC",Anesthesiologist,06 - Physician Services,18048,2466215,490
"ANESTHESIA CONSULTANTS OF INDPLS, LLC",Anesthesiologist,12 - X-Ray Services,101,982,361
ANESTHESIA PAIN CONSULTANTS OF INDIANA,Anesthesiologist,06 - Physician Services,160,1577,90
ANESTHESIA SERVICES FOR TWH,Anesthesiologist,06 - Physician Services,1358,198253,27
ANESTHESIA SERVICES FOR TWH,Anesthesiologist,06 - Physician Services,92,34131,1316
"ANESTHESIA SERVICES OF KENTUCKY, PLLC",Anesthesiologist,06 - Physician Services,62,8291,51
ANESTHESIOLOGY ASSOC PSC,Anesthesiologist,06 - Physician Services,58,4807,62
ANESTHESIOLOGY GROUP ASSOC PC,Anesthesiologist,06 - Physician Services,4322,462499,62
ANESTHESIOLOGY OF INDIANAPOLIS PC,Anesthesiologist,06 - Physician Services,93,23734,84
ANESTHESIOLOGY OF INDIANAPOLIS PC,Anesthesiologist,06 - Physician Services,79,13455,1175
ANESTHESIOLOGY OF INDIANAPOLIS PC,Anesthesiologist,06 - Physician Services,772,77772,167
ANGEL HEALTH CARE SERVICES SC,General Practitioner,06 - Physician Services,152,17955,222
ANGEL SMILES DENTAL PC,General Dentistry Practitioner,27 - Dental Services - Child,580,79645,1513
ANGEL SMILES DENTAL PC,General Dentistry Practitioner,28 - Dental Services - Adult,181,21491,32
ANGOLA FAMILY DENTISTRY,General Dentistry Practitioner,27 - Dental Services - Child,470,70695,1097
ANGOLA FAMILY DENTISTRY,General Dentistry Practitioner,28 - Dental Services - Adult,465,72053,499
"ANNETTE T FARTHING, DDS, PC",Pediatric Dentist,27 - Dental Services - Child,7799,1414723,174
ANNETTE WILLIAMSON DDS PC,General Dentistry Practitioner,27 - Dental Services - Child,470,57137,171
ANNETTE WILLIAMSON DDS PC,General Dentistry Practitioner,28 - Dental Services - Adult,116,13084,73
ANSON ENT,Allergist,06 - Physician Services,67,9518,151
ANSON ENT,"Otologist, Laryngologist, Rhinologist                                                               ",06 - Physician Services,925,102837,154
ANSON ENT,"Otologist, Laryngologist, Rhinologist                                                               ",06 - Physician Services,6312,516513,216
ANTHONY BERARDI PHD PC,Health Service Provider in Psychology (HSPP),26 - Mental Health Services,88,13534,133
ANTHONY C STRINGFELLOW,General Dentistry Practitioner,27 - Dental Services - Child,98,8245,431
ANTHONY C STRINGFELLOW,General Dentistry Practitioner,28 - Dental Services - Adult,59,10911,246
ANTHONY J HORNADAY DDS,Oral Surgeon,27 - Dental Services - Child,730,327839,91
ANTHONY J HORNADAY DDS,Oral Surgeon,28 - Dental Services - Adult,275,88027,603
ANTHONY MEDICAL ASSOCIATES PC,Family Practitioner,06 - Physician Services,7976,681219,207
ANTHONY MEDICAL ASSOCIATES PC,Family Practitioner,11 - Lab Services,31,3065,2939
ANTHONY MEDICAL ASSOCIATES PC,Family Practitioner,38 - EPSDT Services,263,24129,332
ANTHONY MEDICAL ASSOCIATION PC,Family Practitioner,06 - Physician Services,950,10974,963
APEX DENTAL,General Dentistry Practitioner,27 - Dental Services - Child,361,53439,138
APEX DENTAL,General Dentistry Practitioner,28 - Dental Services - Adult,60,6198,27
APEX ENDONTICS LLC,General Dentistry Practitioner,27 - Dental Services - Child,354,119456,27
APICAL HEALTHCARE LLC,General Internist,06 - Physician Services,1681,16966,936
APOGEE MEDICAL GROUP INDIANA PC,General Practitioner,06 - Physician Services,1521,139066,319
APOGEE MEDICAL GROUP INDIANA PC,General Practitioner,06 - Physician Services,1017,81894,96
APOGEE MEDICAL GROUP INDIANA PC,General Practitioner,06 - Physician Services,4758,60313,26
APOGEE MEDICAL GROUP INDIANA PC,General Practitioner,06 - Physician Services,370,33560,296
APOGEE MEDICAL GROUP INDIANA PC,General Practitioner,06 - Physician Services,1765,143678,908
APOSTOLIC YOUTH AND FAMILY SERVICES,Health Service Provider in Psychology (HSPP),26 - Mental Health Services,46,7570,791
APPLEGATE FAMILY DENTISTRY INC,General Dentistry Practitioner,27 - Dental Services - Child,77,7483,75
APPLIED BEHAVIOR CENTER FOR AUTISM,Health Service Provider in Psychology (HSPP),26 - Mental Health Services,890,522740,375
ARCH COMPLETE FAMILY DENTISTRY INC,General Dentistry Practitioner,27 - Dental Services - Child,124,37335,2353
ARCH COMPLETE FAMILY DENTISTRY INC,General Dentistry Practitioner,27 - Dental Services - Child,139,35927,421
ARCH COMPLETE FAMILY DENTISTRY INC,General Dentistry Practitioner,28 - Dental Services - Adult,831,182764,197
ARCH COMPLETE FAMILY DENTISTRY INC,General Dentistry Practitioner,27 - Dental Services - Child,219,66510,1692
ARCH COMPLETE FAMILY DENTISTRY INC,General Dentistry Practitioner,28 - Dental Services - Adult,218,107555,212
ARDENTE DENTAL PSC,General Dentistry Practitioner,27 - Dental Services - Child,1403,171545,29
ARDENTE DENTAL PSC,General Dentistry Practitioner,28 - Dental Services - Adult,182,16145,90
ARGOS MEDICAL CENTER,Medical Clinic,17 - Clinic Services,5722,379949,49
ARGOS MEDICAL CENTER,Medical Clinic,38 - EPSDT Services,447,39094,1201
ARIA DIAGNOSTICS LLC,Independent Lab,11 - Lab Services,95,19643,39
ARIF                     ABUZAFAR     M,Gastroenterologist,06 - Physician Services,93,16879,1305
ARIS RADIOLOGY PROF OF MICHIGAN PC,Radiologist,06 - Physician Services,2942,83283,151
ARIS RADIOLOGY PROF OF MICHIGAN PC,Radiologist,12 - X-Ray Services,3556,51011,53
ARISINGS INCORPORATED,Outpatient Mental Health Clinic,26 - Mental Health Services,242,35148,27
ARM SPECIALISTS LLC,General Internist,06 - Physician Services,1460,29350,231
ARMANDO AVILA DDS,General Dentistry Practitioner,27 - Dental Services - Child,351,65884,92
ARMANDO AVILA DDS,General Dentistry Practitioner,28 - Dental Services - Adult,115,24746,26
ARMSTRONG VISION SERVICES,Optometrist,31 - Eye Care and Exams,879,135334,552
ARNETT CLINIC LLC,Independent Lab,11 - Lab Services,2957,73695,104
ARNETT CLINIC LLC,Independent Lab,11 - Lab Services,297,5779,129
ARNETT CLINIC LLC,Independent Lab,11 - Lab Services,322,6714,32
ARNETT CLINIC LLC,Independent Lab,11 - Lab Services,276,5498,257
ARNETT CLINIC LLC,Independent Lab,11 - Lab Services,158,3642,143
ARNETT CLINIC LLC,Independent Lab,11 - Lab Services,81,1838,40
ARNETT CLINIC LLC,Independent Lab,11 - Lab Services,91,1482,145
ARNETT CLINIC LLC,Independent Lab,11 - Lab Services,206,4531,2803
ARNETT CLINIC LLC,Independent Lab,11 - Lab Services,76,1872,189
ARNETT CLINIC LLC,Independent Lab,11 - Lab Services,42,585,75
ARNETT CLINIC LLC,Independent Lab,11 - Lab Services,437,7524,1525
ARNETT CLINIC LLC,Independent Lab,11 - Lab Services,198,1722,44
ARNETT CLINIC LLC,Independent Lab,11 - Lab Services,389,1127,457
ARNETT CLINIC LLC,Independent Lab,11 - Lab Services,43,894,38
ARNETT CLINIC LLC,Medical Clinic,17 - Clinic Services,2350,182526,42
ARNETT CLINIC LLC,Medical Clinic,38 - EPSDT Services,136,12092,106
ARNETT CLINIC LLC,Medical Clinic,17 - Clinic Services,4634,358341,2828
ARNETT CLINIC LLC,Medical Clinic,38 - EPSDT Services,86,7505,186
ARNETT CLINIC LLC,Medical Clinic,17 - Clinic Services,333,32825,23
ARNETT CLINIC LLC,Medical Clinic,17 - Clinic Services,242,23543,34
ARNETT CLINIC LLC,Medical Clinic,17 - Clinic Services,107,8713,291
ARNETT CLINIC LLC,Medical Clinic,17 - Clinic Services,2364,216624,133
ARNETT CLINIC LLC,Medical Clinic,17 - Clinic Services,253,24438,29
ARNETT CLINIC LLC,Medical Clinic,17 - Clinic Services,1577,163121,34
ARNETT CLINIC LLC,Medical Clinic,17 - Clinic Services,3987,435367,52
ARNETT CLINIC LLC,Medical Clinic,17 - Clinic Services,188,20965,42
ARNETT CLINIC LLC,Medical Clinic,17 - Clinic Services,588,46835,51
ARNETT CLINIC LLC - 2403 LOY DR,Medical Clinic,17 - Clinic Services,2651,237297,613
ARNETT CLINIC LLC - FERRY,Medical Clinic,17 - Clinic Services,12163,1293854,3060
ARNETT CLINIC LLC - FERRY,Medical Clinic,38 - EPSDT Services,222,19040,73
ARNETT CLINIC LLC - FRANKFORT,Medical Clinic,17 - Clinic Services,2023,137464,292
ARNETT CLINIC LLC - FRANKFORT,Medical Clinic,38 - EPSDT Services,101,8778,119
ARNETT CLINIC LLC - GREENBUSH,Medical Clinic,11 - Lab Services,137,11205,21
ARNETT CLINIC LLC - GREENBUSH,Medical Clinic,17 - Clinic Services,84607,3647537,77
ARNETT CLINIC LLC - GREENBUSH,Medical Clinic,38 - EPSDT Services,884,76615,52
ARNETT CLINIC LLC - LOGANSPORT,Medical Clinic,17 - Clinic Services,371,38014,34
ARNETT CLINIC LLC - SALEM,Medical Clinic,17 - Clinic Services,3346,286597,102
ARNETT CLINIC LLC - SALEM,Medical Clinic,38 - EPSDT Services,41,3170,352
ARNETT CLINIC LLC - SALISBURY-CLOSED,Medical Clinic,11 - Lab Services,82,8224,2790
ARNETT CLINIC LLC NORTH 26TH ST,Medical Clinic,17 - Clinic Services,1066,183182,22
ARNETT CLINIC LLC- DELPHI,Medical Clinic,17 - Clinic Services,838,62365,233
ARNETT CLINIC LLC- OTTERBEIN,Medical Clinic,17 - Clinic Services,1193,91237,266
